year,country_region,skill_level,inflow_outflow_ratio,yoy_change
2019,Argentina,HIGH,0.58488529,
2020,Argentina,HIGH,0.530278366,-0.093363477
2021,Argentina,HIGH,0.3469963,-0.345633684
2022,Argentina,HIGH,0.492848923,0.420329043
2019,Argentina,LOW,0.687234043,
2020,Argentina,LOW,0.5716118,-0.168242892
2021,Argentina,LOW,0.428264868,-0.250776719
2022,Argentina,LOW,0.489304813,0.142528489
2019,Argentina,MEDIUM,0.770883055,
2020,Argentina,MEDIUM,0.579458709,-0.248318269
2021,Argentina,MEDIUM,0.401817264,-0.306564458
2022,Argentina,MEDIUM,0.471558836,0.173565395
2019,Australia,HIGH,2.149716529,
2020,Australia,HIGH,1.339477767,-0.376904932
2021,Australia,HIGH,1.302977959,-0.027249282
2022,Australia,HIGH,1.959065171,0.503529018
2019,Australia,LOW,2.601218981,
2020,Australia,LOW,1.415964523,-0.455653471
2021,Australia,LOW,1.30472103,-0.078563757
2022,Australia,LOW,2.623323615,1.010639481
2019,Australia,MEDIUM,2.630794702,
2020,Australia,MEDIUM,1.531708471,-0.417777271
2021,Australia,MEDIUM,1.521040797,-0.006964559
2022,Australia,MEDIUM,2.270657124,0.492831178
2019,Austria,HIGH,1.462355658,
2020,Austria,HIGH,1.493196781,0.021090029
2021,Austria,HIGH,1.442721287,-0.033803645
2022,Austria,HIGH,1.450673195,0.005511742
2019,Bahrain,HIGH,0.574548193,
2020,Bahrain,HIGH,0.960202887,0.671231238
2021,Bahrain,HIGH,1.027334852,0.069914354
2022,Bahrain,HIGH,1.066953097,0.038564101
2019,Bangladesh,HIGH,0.229304314,
2020,Bangladesh,HIGH,0.522954092,1.280611658
2021,Bangladesh,HIGH,0.427887493,-0.181787657
2022,Bangladesh,HIGH,0.298404986,-0.302608768
2019,Belgium,HIGH,1.365859653,
2020,Belgium,HIGH,1.177499819,-0.137905702
2021,Belgium,HIGH,1.203142098,0.021776885
2022,Belgium,HIGH,1.265627342,0.051935049
2019,Belgium,LOW,1.487148103,
2020,Belgium,LOW,1.264026403,-0.150033275
2021,Belgium,LOW,1.307843137,0.034664414
2022,Belgium,LOW,1.199898785,-0.082536161
2019,Belgium,MEDIUM,1.355167394,
2020,Belgium,MEDIUM,1.220989761,-0.099011852
2021,Belgium,MEDIUM,1.272566372,0.042241641
2022,Belgium,MEDIUM,1.269756839,-0.002207769
2019,Brazil,HIGH,0.241932986,
2020,Brazil,HIGH,0.652143507,1.695554327
2021,Brazil,HIGH,0.647283974,-0.00745163
2022,Brazil,HIGH,0.479974745,-0.258478868
2019,Brazil,LOW,0.251221896,
2020,Brazil,LOW,0.635509228,1.529672918
2021,Brazil,LOW,0.727068092,0.144071653
2022,Brazil,LOW,0.387383824,-0.467197325
2019,Brazil,MEDIUM,0.267555556,
2020,Brazil,MEDIUM,0.62827365,1.34819886
2021,Brazil,MEDIUM,0.725746269,0.155143572
2022,Brazil,MEDIUM,0.419150522,-0.422455837
2019,Canada,HIGH,1.837534304,
2020,Canada,HIGH,1.866796844,0.015924894
2021,Canada,HIGH,2.111463192,0.131062118
2022,Canada,HIGH,2.400666181,0.136968047
2019,Canada,LOW,3.099729242,
2020,Canada,LOW,2.97030185,-0.041754418
2021,Canada,LOW,3.661696996,0.232769321
2022,Canada,LOW,4.082198444,0.11483786
2019,Canada,MEDIUM,2.604543347,
2020,Canada,MEDIUM,2.587564485,-0.00651894
2021,Canada,MEDIUM,2.816032888,0.088294767
2022,Canada,MEDIUM,2.971517672,0.055214122
2019,Chile,HIGH,1.306348282,
2020,Chile,HIGH,1.049594814,-0.196542891
2021,Chile,HIGH,0.681968569,-0.350255394
2022,Chile,HIGH,0.643173346,-0.056887113
2019,China,HIGH,0.474053131,
2020,China,HIGH,0.903536595,0.905981707
2021,China,HIGH,0.727539191,-0.194787245
2022,China,HIGH,0.825006324,0.133968224
2019,Colombia,HIGH,0.356193799,
2020,Colombia,HIGH,0.751531059,1.109893714
2021,Colombia,HIGH,0.573647059,-0.236695474
2022,Colombia,HIGH,0.466991342,-0.185925675
2019,Costa Rica,HIGH,0.544978166,
2020,Costa Rica,HIGH,0.884215992,0.622479664
2021,Costa Rica,HIGH,0.88059034,-0.004100414
2022,Costa Rica,HIGH,0.805776476,-0.084958761
2019,Croatia,HIGH,0.635241302,
2020,Croatia,HIGH,0.873393316,0.374900079
2021,Croatia,HIGH,0.878205128,0.00550933
2022,Croatia,HIGH,1.110243454,0.264218824
2019,Cyprus,HIGH,1.397711016,
2020,Cyprus,HIGH,1.73630137,0.242246323
2021,Cyprus,HIGH,1.630244755,-0.061081916
2022,Cyprus,HIGH,2.353918651,0.44390506
2019,Denmark,HIGH,1.48922273,
2020,Denmark,HIGH,1.372118401,-0.07863453
2021,Denmark,HIGH,1.481545469,0.079750456
2022,Denmark,HIGH,1.48960249,0.005438254
2019,Ecuador,HIGH,0.394120849,
2020,Ecuador,HIGH,0.854590925,1.168347417
2021,Ecuador,HIGH,0.669414189,-0.216684651
2022,Ecuador,HIGH,0.574541589,-0.141724812
2019,Egypt,HIGH,0.41741813,
2020,Egypt,HIGH,0.902953586,1.163187273
2021,Egypt,HIGH,0.803896473,-0.109703438
2022,Egypt,HIGH,0.552563139,-0.312643907
2019,Finland,HIGH,1.440570523,
2020,Finland,HIGH,1.384766585,-0.038737387
2021,Finland,HIGH,1.472484277,0.063344749
2022,Finland,HIGH,1.478051976,0.003781161
2019,France,HIGH,1.564639103,
2020,France,HIGH,1.328258104,-0.151077011
2021,France,HIGH,1.269857534,-0.043967788
2022,France,HIGH,1.106311499,-0.128790853
2019,France,LOW,1.460016718,
2020,France,LOW,1.266834394,-0.132315145
2021,France,LOW,1.152100041,-0.09056776
2022,France,LOW,0.981075993,-0.148445483
2019,France,MEDIUM,1.409861325,
2020,France,MEDIUM,1.29709743,-0.07998226
2021,France,MEDIUM,1.143852752,-0.118144308
2022,France,MEDIUM,0.965817977,-0.155644837
2019,Germany,HIGH,1.858151365,
2020,Germany,HIGH,1.539437974,-0.171521759
2021,Germany,HIGH,1.52857264,-0.007057988
2022,Germany,HIGH,1.512568627,-0.010469907
2019,Germany,LOW,1.737127371,
2020,Germany,LOW,1.546454768,-0.109763168
2021,Germany,LOW,1.497501629,-0.031655073
2022,Germany,LOW,1.359810947,-0.091946933
2019,Germany,MEDIUM,1.790134946,
2020,Germany,MEDIUM,1.49768959,-0.163364978
2021,Germany,MEDIUM,1.479193928,-0.012349462
2022,Germany,MEDIUM,1.43004753,-0.033225121
2019,Greece,HIGH,0.455436304,
2020,Greece,HIGH,0.916228248,1.011759359
2021,Greece,HIGH,0.846448468,-0.076159821
2022,Greece,HIGH,0.802426627,-0.052007703
2019,India,HIGH,0.612080502,
2020,India,HIGH,0.639000811,0.043981648
2021,India,HIGH,0.533686364,-0.164811133
2022,India,HIGH,0.346075421,-0.351537823
2019,India,LOW,0.7173468,
2020,India,LOW,0.53523646,-0.253866526
2021,India,LOW,0.430934697,-0.194870438
2022,India,LOW,0.278760232,-0.353126507
2019,India,MEDIUM,0.768457891,
2020,India,MEDIUM,0.596689189,-0.223523896
2021,India,MEDIUM,0.54628007,-0.084481368
2022,India,MEDIUM,0.362181205,-0.337004542
2019,Indonesia,HIGH,1.334046455,
2020,Indonesia,HIGH,1.021398003,-0.234360993
2021,Indonesia,HIGH,0.932097912,-0.087429279
2022,Indonesia,HIGH,0.882726002,-0.052968587
2019,Ireland,HIGH,0.800288277,
2020,Ireland,HIGH,1.342838485,0.677943466
2021,Ireland,HIGH,1.179189999,-0.121867587
2022,Ireland,HIGH,1.472519754,0.248755295
2019,Ireland,LOW,0.827548807,
2020,Ireland,LOW,1.363512284,0.647651803
2021,Ireland,LOW,1.247619048,-0.084996107
2022,Ireland,LOW,1.504281346,0.205721689
2019,Ireland,MEDIUM,0.729863693,
2020,Ireland,MEDIUM,1.416666667,0.941001698
2021,Ireland,MEDIUM,1.213897937,-0.143130868
2022,Ireland,MEDIUM,1.38173913,0.138266314
2019,Israel,HIGH,0.63520496,
2020,Israel,HIGH,1.246311738,0.962062352
2021,Israel,HIGH,1.211256281,-0.028127358
2022,Israel,HIGH,1.385428343,0.143794558
2019,Italy,HIGH,0.959842001,
2020,Italy,HIGH,0.988729902,0.030096517
2021,Italy,HIGH,1.074720583,0.08697085
2022,Italy,HIGH,0.923756533,-0.140468185
2019,Italy,LOW,1.039538715,
2020,Italy,LOW,1.05173439,0.011731815
2021,Italy,LOW,1.096565133,0.042625536
2022,Italy,LOW,0.88791423,-0.190276799
2019,Italy,MEDIUM,0.974948875,
2020,Italy,MEDIUM,0.982894737,0.008150029
2021,Italy,MEDIUM,1.056975895,0.075370388
2022,Italy,MEDIUM,0.888387485,-0.159500714
2019,Japan,HIGH,0.607954545,
2020,Japan,HIGH,1.246598192,1.050479268
2021,Japan,HIGH,1.062467465,-0.147706557
2022,Japan,HIGH,1.165629984,0.097097109
2019,Jordan,HIGH,0.540474741,
2020,Jordan,HIGH,0.71425195,0.321526975
2021,Jordan,HIGH,0.55462963,-0.223481812
2022,Jordan,HIGH,0.553538743,-0.001966874
2019,Kenya,HIGH,0.603152844,
2020,Kenya,HIGH,0.92586157,0.535036398
2021,Kenya,HIGH,0.823926242,-0.110097806
2022,Kenya,HIGH,0.760008428,-0.077577107
2019,Lebanon,HIGH,0.263922518,
2020,Lebanon,HIGH,0.301526718,0.142481967
2021,Lebanon,HIGH,0.211684257,-0.297958539
2022,Lebanon,HIGH,0.285451197,0.348476266
2019,Luxembourg,HIGH,1.630337795,
2020,Luxembourg,HIGH,1.889884763,0.159198277
2021,Luxembourg,HIGH,1.535471331,-0.187531768
2022,Luxembourg,HIGH,1.697532262,0.105544745
2019,Malaysia,HIGH,0.793455164,
2020,Malaysia,HIGH,0.850110493,0.071403316
2021,Malaysia,HIGH,0.739897467,-0.129645531
2022,Malaysia,HIGH,0.670854437,-0.093314322
2019,Malaysia,LOW,0.810810811,
2020,Malaysia,LOW,0.781207133,-0.036511203
2021,Malaysia,LOW,0.735313977,-0.058746463
2022,Malaysia,LOW,0.731233596,-0.005549169
2019,Malaysia,MEDIUM,0.761061947,
2020,Malaysia,MEDIUM,0.827181208,0.086877634
2021,Malaysia,MEDIUM,0.674662669,-0.184383467
2022,Malaysia,MEDIUM,0.679577465,0.00728482
2019,Malta,HIGH,0.866910867,
2020,Malta,HIGH,1.166580977,0.345675803
2021,Malta,HIGH,1.156880734,-0.008315105
2022,Malta,HIGH,1.305660377,0.128604133
2019,Mexico,HIGH,0.713665271,
2020,Mexico,HIGH,0.800348953,0.12146266
2021,Mexico,HIGH,0.748150306,-0.065219861
2022,Mexico,HIGH,0.663313056,-0.113395997
2019,Mexico,LOW,0.745724907,
2020,Mexico,LOW,0.811546841,0.088265704
2021,Mexico,LOW,0.709783631,-0.12539413
2022,Mexico,LOW,0.590325765,-0.168301805
2019,Mexico,MEDIUM,0.738325282,
2020,Mexico,MEDIUM,0.902631579,0.222539172
2021,Mexico,MEDIUM,0.812121212,-0.100273876
2022,Mexico,MEDIUM,0.631076783,-0.222927841
2019,Morocco,HIGH,0.165499124,
2020,Morocco,HIGH,0.356931482,1.156697102
2021,Morocco,HIGH,0.454270871,0.272711694
2022,Morocco,HIGH,0.428664637,-0.056367766
2019,Netherlands,HIGH,1.597427346,
2020,Netherlands,HIGH,1.488491836,-0.068194344
2021,Netherlands,HIGH,1.47041456,-0.012144693
2022,Netherlands,HIGH,1.578665828,0.073619556
2019,New Zealand,HIGH,1.479191797,
2020,New Zealand,HIGH,1.639074725,0.10808803
2021,New Zealand,HIGH,1.342772612,-0.180774011
2022,New Zealand,HIGH,1.047971781,-0.219546354
2019,New Zealand,LOW,1.864464692,
2020,New Zealand,LOW,1.629144179,-0.126213446
2021,New Zealand,LOW,1.299326275,-0.202448566
2022,New Zealand,LOW,1.309620049,0.007922393
2019,New Zealand,MEDIUM,1.947712418,
2020,New Zealand,MEDIUM,1.980557904,0.016863622
2021,New Zealand,MEDIUM,1.57348407,-0.205534932
2022,New Zealand,MEDIUM,1.313843508,-0.165009972
2019,Nigeria,HIGH,0.335032775,
2020,Nigeria,HIGH,0.50987896,0.521877854
2021,Nigeria,HIGH,0.322876989,-0.366757577
2022,Nigeria,HIGH,0.320126425,-0.008518921
2019,Norway,HIGH,1.637336094,
2020,Norway,HIGH,1.305499393,-0.202668653
2021,Norway,HIGH,1.443976608,0.106072217
2022,Norway,HIGH,1.53286896,0.061560797
2019,Pakistan,HIGH,0.274896106,
2020,Pakistan,HIGH,0.575426384,1.0932504
2021,Pakistan,HIGH,0.543380236,-0.055691134
2022,Pakistan,HIGH,0.380083264,-0.300520632
2019,Panama,HIGH,0.519968677,
2020,Panama,HIGH,0.814414414,0.566275914
2021,Panama,HIGH,0.763910355,-0.062012727
2022,Panama,HIGH,0.898228078,0.175829169
2019,Peru,HIGH,0.605244253,
2020,Peru,HIGH,0.760070438,0.255807774
2021,Peru,HIGH,0.455648338,-0.400518274
2022,Peru,HIGH,0.588110403,0.290711179
2019,Philippines,HIGH,0.658150104,
2020,Philippines,HIGH,0.721939158,0.09692174
2021,Philippines,HIGH,0.724098207,0.002990625
2022,Philippines,HIGH,0.539830799,-0.254478477
2019,Philippines,LOW,0.789788408,
2020,Philippines,LOW,0.875328084,0.108307079
2021,Philippines,LOW,0.965228426,0.102704739
2022,Philippines,LOW,0.560514372,-0.419293551
2019,Philippines,MEDIUM,0.583984375,
2020,Philippines,MEDIUM,0.684676435,0.172422524
2021,Philippines,MEDIUM,0.77210156,0.127688235
2022,Philippines,MEDIUM,0.499676236,-0.352836127
2019,Poland,HIGH,1.163261832,
2020,Poland,HIGH,1.20840682,0.038808965
2021,Poland,HIGH,1.466010487,0.213176277
2022,Poland,HIGH,1.839385257,0.254687653
2019,Poland,LOW,1.119834711,
2020,Poland,LOW,1.234419263,0.102322737
2021,Poland,LOW,1.36,0.101732645
2022,Poland,LOW,1.005572065,-0.260608775
2019,Poland,MEDIUM,1.310116086,
2020,Poland,MEDIUM,1.265811182,-0.033817541
2021,Poland,MEDIUM,1.426691729,0.127096797
2022,Poland,MEDIUM,1.25573587,-0.119826768
2019,Portugal,HIGH,1.625340599,
2020,Portugal,HIGH,1.533641975,-0.056418097
2021,Portugal,HIGH,1.611416575,0.050712357
2022,Portugal,HIGH,1.801288014,0.117828898
2019,Puerto Rico,HIGH,0.774311927,
2020,Puerto Rico,HIGH,0.806280407,0.041286307
2021,Puerto Rico,HIGH,0.790286976,-0.019836066
2022,Puerto Rico,HIGH,0.745355191,-0.056855023
2019,Qatar,HIGH,0.667161961,
2020,Qatar,HIGH,0.854173329,0.280308798
2021,Qatar,HIGH,1.040697089,0.218367576
2022,Qatar,HIGH,1.409590199,0.354467322
2019,Qatar,LOW,0.71875,
2020,Qatar,LOW,1.040305011,0.447380885
2021,Qatar,LOW,1.214020427,0.166985081
2022,Qatar,LOW,2.378889823,0.959513835
2019,Qatar,MEDIUM,0.665936473,
2020,Qatar,MEDIUM,1.010858325,0.517950083
2021,Qatar,MEDIUM,1.132117438,0.119956585
2022,Qatar,MEDIUM,1.77738042,0.569961173
2019,Romania,HIGH,0.317664234,
2020,Romania,HIGH,0.70232333,1.210898351
2021,Romania,HIGH,0.746590549,0.063029685
2022,Romania,HIGH,0.785134744,0.051626953
2019,Saudi Arabia,HIGH,1.143057111,
2020,Saudi Arabia,HIGH,1.142635755,-0.000368622
2021,Saudi Arabia,HIGH,1.136120861,-0.005701637
2022,Saudi Arabia,HIGH,1.602369513,0.41038649
2019,Saudi Arabia,LOW,1.042590949,
2020,Saudi Arabia,LOW,0.970062208,-0.069565865
2021,Saudi Arabia,LOW,1.101579436,0.135576076
2022,Saudi Arabia,LOW,1.410326833,0.280277016
2019,Saudi Arabia,MEDIUM,1.153900211,
2020,Saudi Arabia,MEDIUM,1.060998152,-0.080511346
2021,Saudi Arabia,MEDIUM,1.138836329,0.07336316
2022,Saudi Arabia,MEDIUM,1.532169337,0.345381508
2019,Singapore,HIGH,0.763888889,
2020,Singapore,HIGH,1.049879781,0.374388077
2021,Singapore,HIGH,0.848364603,-0.191941194
2022,Singapore,HIGH,1.264292741,0.490270499
2019,Singapore,MEDIUM,0.665445665,
2020,Singapore,MEDIUM,0.83197832,0.250257328
2021,Singapore,MEDIUM,0.700970874,-0.157464976
2022,Singapore,MEDIUM,1.124572545,0.604307094
2019,South Africa,HIGH,0.66443437,
2020,South Africa,HIGH,0.541596538,-0.184875796
2021,South Africa,HIGH,0.612231046,0.130419054
2022,South Africa,HIGH,0.467118967,-0.237021758
2019,South Africa,LOW,1.397249191,
2020,South Africa,LOW,0.912312585,-0.347065226
2021,South Africa,LOW,1.063475546,0.16569207
2022,South Africa,LOW,0.677287582,-0.363137607
2019,South Africa,MEDIUM,0.913531353,
2020,South Africa,MEDIUM,0.732442913,-0.198229037
2021,South Africa,MEDIUM,0.902032308,0.231539405
2022,South Africa,MEDIUM,0.5443196,-0.396563077
2019,Spain,HIGH,1.860998448,
2020,Spain,HIGH,1.346106443,-0.27667514
2021,Spain,HIGH,1.541194581,0.144927721
2022,Spain,HIGH,1.491450206,-0.032276506
2019,Spain,LOW,2.287348587,
2020,Spain,LOW,1.55648467,-0.319524502
2021,Spain,LOW,1.586040083,0.018988567
2022,Spain,LOW,1.495056939,-0.057364971
2019,Spain,MEDIUM,2.180705191,
2020,Spain,MEDIUM,1.495915679,-0.314022049
2021,Spain,MEDIUM,1.58021161,0.056350724
2022,Spain,MEDIUM,1.542694497,-0.023741828
2019,Sweden,HIGH,0.787646346,
2020,Sweden,HIGH,1.574987393,0.99961239
2021,Sweden,HIGH,1.63327774,0.03701004
2022,Sweden,HIGH,1.555371179,-0.047699518
2019,Switzerland,HIGH,1.583125312,
2020,Switzerland,HIGH,1.68504784,0.064380581
2021,Switzerland,HIGH,1.731501309,0.027568041
2022,Switzerland,HIGH,1.831315217,0.057645875
2019,Switzerland,LOW,1.596746575,
2020,Switzerland,LOW,1.719978746,0.077177038
2021,Switzerland,LOW,1.724688279,0.002738135
2022,Switzerland,LOW,1.701327434,-0.013544967
2019,Switzerland,MEDIUM,1.709770115,
2020,Switzerland,MEDIUM,1.782105904,0.042307319
2021,Switzerland,MEDIUM,1.884639112,0.057534857
2022,Switzerland,MEDIUM,1.924082453,0.020928857
2019,Thailand,HIGH,1.1747851,
2020,Thailand,HIGH,0.943806054,-0.196613871
2021,Thailand,HIGH,0.960065079,0.017227083
2022,Thailand,HIGH,1.076541787,0.121321679
2019,Turkey,HIGH,0.535874439,
2020,Turkey,HIGH,0.734966592,0.371527616
2021,Turkey,HIGH,0.691618585,-0.058979562
2022,Turkey,HIGH,0.785774998,0.136139218
2019,Turkey,LOW,0.630992196,
2020,Turkey,LOW,0.715808171,0.134416836
2021,Turkey,LOW,0.685701638,-0.042059498
2022,Turkey,LOW,0.552150399,-0.194765816
2019,Turkey,MEDIUM,0.654394299,
2020,Turkey,MEDIUM,0.798455056,0.220143661
2021,Turkey,MEDIUM,0.804072647,0.007035576
2022,Turkey,MEDIUM,0.650582902,-0.190890396
2019,Ukraine,HIGH,0.283323716,
2020,Ukraine,HIGH,0.614081781,1.167421031
2021,Ukraine,HIGH,0.642985972,0.047068961
2022,Ukraine,HIGH,0.25631548,-0.601366917
2019,United Arab Emirates,HIGH,0.691257103,
2020,United Arab Emirates,HIGH,1.043672707,0.509818419
2021,United Arab Emirates,HIGH,1.28363056,0.229916766
2022,United Arab Emirates,HIGH,1.623742523,0.264960942
2019,United Arab Emirates,LOW,0.669192655,
2020,United Arab Emirates,LOW,1.10967033,0.658222518
2021,United Arab Emirates,LOW,1.445083539,0.302263835
2022,United Arab Emirates,LOW,1.62681686,0.125759734
2019,United Arab Emirates,MEDIUM,0.678705576,
2020,United Arab Emirates,MEDIUM,1.196446962,0.762836499
2021,United Arab Emirates,MEDIUM,1.472776392,0.230958362
2022,United Arab Emirates,MEDIUM,1.657311799,0.125297641
2019,United Kingdom,HIGH,0.887867737,
2020,United Kingdom,HIGH,1.011030208,0.138717137
2021,United Kingdom,HIGH,1.227145314,0.213757319
2022,United Kingdom,HIGH,1.557762892,0.269420071
2019,United Kingdom,LOW,0.921635434,
2020,United Kingdom,LOW,1.082130033,0.174141089
2021,United Kingdom,LOW,1.268936877,0.172628833
2022,United Kingdom,LOW,1.636656707,0.289785754
2019,United Kingdom,MEDIUM,0.892351275,
2020,United Kingdom,MEDIUM,1.092581944,0.22438548
2021,United Kingdom,MEDIUM,1.26985099,0.162247827
2022,United Kingdom,MEDIUM,1.575510204,0.240704789
2019,United States,HIGH,1.614786506,
2020,United States,HIGH,1.051044368,-0.34911249
2021,United States,HIGH,1.360386877,0.294319173
2022,United States,HIGH,1.67484629,0.231154401
2019,United States,LOW,1.342178218,
2020,United States,LOW,0.899943439,-0.329490356
2021,United States,LOW,1.104577908,0.227385923
2022,United States,LOW,1.46700938,0.328117618
2019,United States,MEDIUM,1.47733024,
2020,United States,MEDIUM,1.046307803,-0.291757676
2021,United States,MEDIUM,1.215646209,0.161843776
2022,United States,MEDIUM,1.516777074,0.247712585
2019,Uruguay,HIGH,0.842385517,
2020,Uruguay,HIGH,1.077877326,0.279553488
2021,Uruguay,HIGH,0.941706731,-0.126332183
2022,Uruguay,HIGH,1.085164835,0.152338408
2019,Venezuela,HIGH,0.093663146,
2020,Venezuela,HIGH,0.144010545,0.537536921
2021,Venezuela,HIGH,0.298701299,1.074162679
2022,Venezuela,HIGH,0.583408206,0.953149212
